agency.name,Basin_count,ID,Basin_Name,SubBasin_Name,No_basin,HydroRegion,DWR,Geo_Region,Basin_Prior,Prior,Basin_area (ac),Pop2010,Basin_GW_extract ,Agency_GW_extract,Basin_irri,Agency_irri,ab3030,abtoc,abmonth,sb1938,sbtoc,sbmonth,irwmp,irwmtoc,well_basin,well_agen,member,irwmporgs,waterorg
Glenn County,39,5-21.58,SACRAMENTO VALLEY,WEST BUTTE,2,Sacramento River,NRO,3,High,1,181560,36152,175600,,,255000,0,N/A,not submitted,1,7/31/2012,127,1,3/1/2014,725,457,,9,32
Glenn-Colusa Irrigation District,61,5-21.51,SACRAMENTO VALLEY,CORNING,2,Sacramento River,NRO,3,Medium,0,205640,18852,158600,,,55000,1,5/18/1995,40.6,0,N/A,not submitted,1,2/1/2009,725,,1096,60,8
Glenn-Colusa Irrigation District,57,5-21.52,SACRAMENTO VALLEY,COLUSA,2,Sacramento River,NRO,3,Medium,0,918380,48369,346000,,,55000,1,5/26/1995,40.8,0,N/A,not submitted,1,2/1/2009,725,,1096,60,8
Gravelly Ford Water District,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,1,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,16300,1,4/13/1998,75.4,0,N/A,not submitted,1,4/15/2008,264,,22,14,8
Hallwood Irrigation Company,121,5-21.60,SACRAMENTO VALLEY,NORTH YUBA,1,Sacramento River,NCRO,1,Medium,0,103151,14667,74800,12015,,,1,3/1/2005,158,1,12/28/2010,107.9,1,3/1/2014,,,,22,16
James Irrigation District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,1,Tulare Lake,SCRO,2,High,1,977000,44700,150000,40300,480000,22442,1,5/7/1996,52.2,1,11/1/2010,106,1,10/17/2012,2335,68,52,57,17
Kaweah-Delta Water Conservation District,3,5-22.11,SAN JOAQUIN VALLEY,KAWEAH,1,Tulare Lake,SCRO,2,High,1,446000,271700,757800,,,250000,1,8/1/1995,43,1,11/7/2006,58.2,1,14-Dec,1004,400,175000,8,16
Kern Delta Water District,21,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,1,Tulare Lake,SCRO,2,High,1,1945000,700323,1400300,250000,,92000,1,10/15/1996,57.5,1,10/11/2013,141.3,1,11-Nov,1128,1000,500,8,3
Kern-Tulare Water District and Rag Gulch Water District,21,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,2,Tulare Lake,SCRO,2,High,1,1945000,700323,1400300,25000,,19066,0,N/A,not submitted,1,6/20/2006,53.6,1,7-Jul,1128,,70,6,8
Kern-Tulare Water District and Rag Gulch Water District,27,5-22.12,SAN JOAQUIN VALLEY,TULARE LAKE,2,Tulare Lake,SCRO,2,High,1,524000,27285,672000,,,19066,0,N/A,not submitted,1,6/20/2006,53.6,1,7-Jul,182,,70,6,8
Kings County Water District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,2,Tulare Lake,SCRO,2,High,1,977000,44700,150000,,480000,,1,1/1/1993,12,1,5/1/2011,112,1,10/17/2012,2335,,,57,21
Kings County Water District,27,5-22.12,SAN JOAQUIN VALLEY,TULARE LAKE,2,Tulare Lake,SCRO,2,High,1,524000,27285,672000,,,,1,1/1/1993,12,1,5/1/2011,112,1,10/17/2012,182,,,57,21
Kings River Conservation District,3,5-22.11,SAN JOAQUIN VALLEY,KAWEAH,3,Tulare Lake,SCRO,2,High,1,446000,271700,757800,,,,1,8/17/1995,43.5,1,4/1/2005,39,1,10/17/2012,2352,1100,161987,17,15
Kings River Conservation District,27,5-22.12,SAN JOAQUIN VALLEY,TULARE LAKE,3,Tulare Lake,SCRO,2,High,1,524000,27285,672000,,,,1,8/17/1995,43.5,1,4/1/2005,39,1,10/17/2012,182,1100,161987,17,15
Kings River Conservation District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,3,Tulare Lake,SCRO,2,High,1,977000,44700,150000,,480000,,1,4/11/1995,39.3,1,4/1/2005,39,1,10/17/2012,2335,1100,,57,24
Kings River Water District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,1,Tulare Lake,SCRO,2,High,1,977000,44700,150000,,480000,1400,1,8/17/1995,43.5,0,N/A,not submitted,0,N/A,2335,,,0,11
Kirkwood Water District,61,5-21.51,SACRAMENTO VALLEY,CORNING,1,Sacramento River,NRO,3,Medium,0,205640,18852,158600,,,,1,11/1/1996,58,0,N/A,not submitted,1,2/1/2009,725,,,60,32
Linda County Water District,119,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,1,Sacramento River,NCRO,1,Medium,0,89000,45014,104700,,,,0,N/A,not submitted,0,N/A,not submitted,1,3/1/2014,,,3360,22,16
Los Molinos Mutual Water Company,123,5-21.56,SACRAMENTO VALLEY,LOS MOLINOS,1,Sacramento River,NRO,3,Medium,0,33170,2220,6900,,,,1,11/1/1996,58,0,N/A,not submitted,0,N/A,,,,0,32
Los Molinos Water Works,123,5-21.56,SACRAMENTO VALLEY,LOS MOLINOS,1,Sacramento River,NRO,3,Medium,0,33170,2220,6900,,,,1,11/1/1996,58,0,N/A,not submitted,0,N/A,,,,0,
Madera County,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,1,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,765159,1,1/1/2002,120,0,N/A,not submitted,1,4/15/2008,264,21,7032,14,8
Madera Irrigation District,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,1,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,99203,1,5/1/1999,88,0,N/A,not submitted,1,4/15/2008,264,229,700,14,8
Madera Water District,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,1,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,,1,12/10/1997,71.3,0,N/A,not submitted,1,4/15/2008,264,16,35000,14,8
Maine Prairie Water District,107,5-21.66,SACRAMENTO VALLEY,SOLANO,1,Sacramento River,NCRO,1,Medium,0,425000,119263,346000,,,13405,1,1/21/1997,60.7,0,N/A,not submitted,1,2/1/2005,,,250,4,20
Maxwell Irrigation District,57,5-21.52,SACRAMENTO VALLEY,COLUSA,1,Sacramento River,NRO,3,Medium,0,918380,48369,346000,17980,,7700,0,N/A,not submitted,1,5/25/2004,28.8,1,2/1/2009,725,59,29,60,45
Merced Area Groundwater Pool Interests (MAGPI) ,23,5-22.04,SAN JOAQUIN VALLEY,MERCED,1,San Joaquin River,SCRO,2,High,1,491000,173731,,640800,,110000,1,11/4/1997,70.1,1,7/30/2008,79,1,10/8/2013,491,305,,7,14
Monterey County Water Resource Agency,12,3-4.01,SALINAS VALLEY,180/400 FOOT AQUIFER,7,Central Coast,SCRO,2,High,1,84400,,,520000,,200000,0,N/A,not submitted,1,5/22/2006,52.7,1,4/1/2013,1406,,,19,4
Monterey County Water Resource Agency,116,3-4.10,SALINAS VALLEY,CORRAL DE TIERRA AREA,7,Central Coast,SCRO,2,Medium,0,22300,,,520000,,200000,0,N/A,not submitted,1,5/22/2006,52.7,1,4/1/2013,134,,,19,4
Monterey County Water Resource Agency,1,3-4.02,SALINAS VALLEY,EAST SIDE AQUIFER,7,Central Coast,SCRO,2,High,1,57500,128646,,520000,,200000,0,N/A,not submitted,1,5/22/2006,52.7,1,4/1/2013,655,,,19,4
Monterey County Water Resource Agency,90,3-4.04,SALINAS VALLEY,FOREBAY AQUIFER,7,Central Coast,SCRO,2,Medium,0,74300,,,520000,,200000,0,N/A,not submitted,1,5/22/2006,52.7,1,4/1/2013,610,,,19,4
Monterey County Water Resource Agency,73,3-4.09,SALINAS VALLEY,LANGLEY AREA,7,Central Coast,SCRO,2,Medium,0,15400,,,520000,,200000,0,N/A,not submitted,1,5/22/2006,52.7,1,4/1/2013,337,,,19,4
Monterey County Water Resource Agency,14,3-4.06,SALINAS VALLEY,PASO ROBLES AREA,7,Central Coast,SCRO,2,High,1,597000,,,520000,,200000,0,N/A,not submitted,1,5/22/2006,52.7,1,4/1/2013,1331,,,19,4
Monterey County Water Resources Agency,108,3-4.05,SALINAS VALLEY,UPPER VALLEY AQUIFER,7,Central Coast,SCRO,2,Medium,0,98200,,,520000,,200000,0,N/A,not submitted,1,5/22/2006,52.7,1,4/1/2013,339,,,19,4
North Kern Water Storage District and Rosedale Ranch Improvement District,21,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,1,Tulare Lake,SCRO,2,High,1,1945000,700323,1400300,93133,,60336,1,10/19/1993,21.6,0,N/A,not submitted,1,7/1/2007,1128,300,,6,5
Olivehurst Public Utility District,119,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,1,Sacramento River,NCRO,1,Medium,0,89000,45014,104700,3884,,,0,N/A,not submitted,0,N/A,not submitted,1,3/1/2014,,,12259,22,16
Orange Cove Irrigation District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,1,Tulare Lake,SCRO,2,High,1,977000,44700,150000,,480000,28000,1,12/22/1997,71.7,0,N/A,not submitted,1,10/17/2012,2335,,643,57,35
Orland-Artois Water District,57,5-21.52,SACRAMENTO VALLEY,COLUSA,1,Sacramento River,NRO,3,Medium,0,918380,48369,346000,95000,,24000,1,1/1/2002,120,0,N/A,not submitted,1,2/1/2009,725,,208,60,45
Pelger Mutual Water Company,85,5-21.62,SACRAMENTO VALLEY,SUTTER,1,Sacramento River,NCRO,1,Medium,0,234400,94737,175300,,,3000,0,N/A,not submitted,1,2/1/2012,121,1,2/1/2009,,,,60,11
